"Time (s) Run #1","Absolute Pressure 1 (kPa) Run #1","Absolute Pressure 2 (kPa) Run #1","Differential Pressure₁₋₂ (kPa) Run #1"
1180.000,103.41,99.42,3.98653
1185.000,103.42,99.42,3.99635
1190.000,103.43,99.42,4.00528
1195.000,103.44,99.43,4.01368
1200.000,103.44,99.42,4.01821
1205.000,103.45,99.42,4.02989
1210.000,103.46,99.42,4.03799
1215.000,103.47,99.42,4.05082
1220.000,103.48,99.42,4.06017
1225.000,103.50,99.42,4.07494
1230.000,103.51,99.42,4.08553
1235.000,103.52,99.42,4.09915
1240.000,103.53,99.42,4.10961
1245.000,103.54,99.42,4.12093
1250.000,103.55,99.42,4.13241
1255.000,103.56,99.42,4.14156
1260.000,103.58,99.42,4.15496
1265.000,103.59,99.42,4.16666
1270.000,103.60,99.42,4.17865
1275.000,103.61,99.42,4.18904
1280.000,103.62,99.42,4.19721
1285.000,103.63,99.42,4.20871
1290.000,103.64,99.42,4.21943
1295.000,103.65,99.42,4.22872
1300.000,103.66,99.42,4.23915
1305.000,103.67,99.43,4.24469
1310.000,103.68,99.43,4.25351
1315.000,103.69,99.43,4.26861
1320.000,103.70,99.42,4.27794
1325.000,103.71,99.43,4.28068
1330.000,103.72,99.43,4.29328
1335.000,103.73,99.43,4.30471
1340.000,103.74,99.43,4.31302
1345.000,103.75,99.43,4.32036
1350.000,103.76,99.43,4.33229
1355.000,103.77,99.43,4.33994
1360.000,103.77,99.43,4.34024
1365.000,103.79,99.43,4.35747
1370.000,103.80,99.43,4.36532
1375.000,103.81,99.44,4.37653
1380.000,103.82,99.43,4.38586
1385.000,103.82,99.43,4.39404
1390.000,103.83,99.43,4.40037
1395.000,103.84,99.43,4.40682
1400.000,103.85,99.43,4.42039
1405.000,103.86,99.43,4.42691
1410.000,103.87,99.44,4.43222
1415.000,103.88,99.43,4.44702
1420.000,103.88,99.43,4.44873
1425.000,103.89,99.43,4.45878
1430.000,103.90,99.43,4.47092
1435.000,103.91,99.43,4.47925
1440.000,103.92,99.43,4.49262
1445.000,103.93,99.43,4.49580
1450.000,103.94,99.43,4.50780
1455.000,103.95,99.43,4.51825
1460.000,103.96,99.43,4.52933
1465.000,103.97,99.43,4.53759
1470.000,103.97,99.43,4.54089
1475.000,99.41,99.43,-0.02096
1480.000,99.41,99.43,-0.01854
1485.000,99.42,99.43,-0.01593
1490.000,99.42,99.43,-0.01546
1495.000,99.42,99.43,-0.01202
1500.000,99.42,99.43,-0.01574
1505.000,99.42,99.43,-0.01448
1510.000,99.42,99.44,-0.01489
1515.000,99.42,99.44,-0.01673
1520.000,99.42,99.43,-0.01442
1525.000,99.42,99.43,-0.01521
1530.000,99.42,99.43,-0.01688
1535.000,99.42,99.44,-0.01450
1540.000,99.42,99.43,-0.01414
1545.000,99.42,99.43,-0.01534
1550.000,99.42,99.43,-0.01560
1555.000,99.41,99.43,-0.01612
1560.000,99.42,99.43,-0.01406
1565.000,99.42,99.43,-0.01638
1570.000,99.42,99.43,-0.01717
1575.000,99.42,99.43,-0.01621
1580.000,99.42,99.43,-0.01724
1585.000,99.41,99.43,-0.01721
1590.000,99.42,99.43,-0.01745
1595.000,99.42,99.43,-0.01742
1600.000,99.42,99.43,-0.01722
1605.000,99.42,99.43,-0.01703
1610.000,99.42,99.43,-0.01606
1615.000,99.42,99.44,-0.01614
1620.000,99.42,99.44,-0.01553
1625.000,99.42,99.44,-0.01635
1630.000,99.42,99.44,-0.01440
1635.000,99.42,99.44,-0.01339
1640.000,99.42,99.43,-0.01422
1645.000,99.42,99.44,-0.01556
1650.000,99.42,99.43,-0.01309
1655.000,99.42,99.44,-0.01640
1660.000,99.42,99.44,-0.01551
1665.000,99.42,99.44,-0.01155
1670.000,99.42,99.44,-0.01363
1675.000,99.43,99.44,-0.01640
1680.000,99.42,99.44,-0.01450
1685.000,99.42,99.44,-0.01262
1690.000,99.42,99.44,-0.01427
1695.000,99.42,99.44,-0.01222
1700.000,99.43,99.44,-0.01467
1705.000,99.42,99.44,-0.01618
1710.000,99.43,99.44,-0.01333
1715.000,99.43,99.44,-0.01451
1720.000,99.43,99.44,-0.01236
1725.000,99.43,99.44,-0.01531
1730.000,99.43,99.44,-0.01399
1735.000,99.42,99.44,-0.01746
1740.000,99.43,99.44,-0.01437
1745.000,99.43,99.44,-0.01295
1750.000,99.43,99.44,-0.01546
1755.000,99.43,99.44,-0.01514
1760.000,99.43,99.44,-0.01549
1765.000,99.43,99.44,-0.01522
1770.000,99.43,99.44,-0.01685
1775.000,99.43,99.44,-0.01486
1780.000,99.43,99.44,-0.01635
1785.000,99.43,99.44,-0.01245
1790.000,99.43,99.44,-0.01409
1795.000,99.43,99.44,-0.01449
1800.000,99.43,99.44,-0.01510
1805.000,99.43,99.44,-0.01498
1810.000,99.43,99.44,-0.01359
1815.000,99.43,99.44,-0.01471
1820.000,99.43,99.44,-0.01451
1825.000,99.43,99.44,-0.01521
1830.000,99.43,99.44,-0.01744
1835.000,99.43,99.45,-0.01628
1840.000,99.43,99.45,-0.01597
1845.000,99.43,99.44,-0.01596
1850.000,99.43,99.45,-0.01343
1855.000,99.43,99.44,-0.01200
1860.000,99.43,99.44,-0.01475
1865.000,99.43,99.45,-0.01603
1870.000,99.43,99.44,-0.01507
1875.000,99.43,99.44,-0.01576
1880.000,99.43,99.45,-0.01417
1885.000,99.43,99.44,-0.00908
1890.000,99.43,99.44,-0.01136
1895.000,99.43,99.45,-0.01218
1900.000,99.43,99.45,-0.01269
1905.000,99.43,99.45,-0.01232
1910.000,99.43,99.45,-0.01228
1915.000,99.43,99.45,-0.01124
1920.000,99.43,99.45,-0.01283
1925.000,99.43,99.45,-0.01530
1930.000,99.43,99.45,-0.01364
1935.000,99.44,99.45,-0.01311
1940.000,99.44,99.45,-0.01287
1945.000,99.44,99.45,-0.01095
1950.000,99.44,99.45,-0.01267
1955.000,99.44,99.45,-0.01357
1960.000,99.43,99.45,-0.01489
1965.000,99.44,99.45,-0.01197
1970.000,99.44,99.45,-0.01379
1975.000,99.44,99.45,-0.01320
1980.000,99.44,99.45,-0.01248
1985.000,99.44,99.45,-0.01328
1990.000,99.44,99.45,-0.01092
1995.000,99.44,99.45,-0.01104
2000.000,99.44,99.45,-0.01001
2005.000,99.44,99.45,-0.01393
2010.000,99.44,99.45,-0.01283
2015.000,99.44,99.45,-0.01264
2020.000,99.44,99.45,-0.01307
2025.000,99.44,99.45,-0.01299
2030.000,99.44,99.45,-0.00952
2035.000,99.44,99.45,-0.01077
2040.000,99.44,99.45,-0.01386
2045.000,99.44,99.45,-0.01280
2050.000,99.44,99.46,-0.01576
2055.000,99.44,99.45,-0.01535
2060.000,99.44,99.45,-0.01533
2065.000,99.44,99.45,-0.01355
2070.000,99.44,99.46,-0.01619
2075.000,99.44,99.45,-0.01393
2080.000,99.44,99.46,-0.01573
